CANSIM,v41690973,v41690914,v41690973,v108785715,v108785714,v108785713,v112593702,V1675033092,v36393
2025-10,165.3,165.2,2.2,3.0,2.9,2.7,2.9,2.7,3.0
2025-09,164.9,165.0,2.4,3.1,3.1,2.7,2.8,2.4,3.0
2025-08,164.8,164.3,1.9,3.0,3.0,2.5,2.6,2.4,2.9
2025-07,164.9,164.0,1.7,3.1,3.0,2.6,2.6,2.5,2.9
2025-06,164.4,163.8,1.9,3.0,2.9,2.6,2.7,2.6,2.9
2025-05,164.3,163.5,1.7,3.0,2.9,2.6,2.5,2.6,2.8
2025-04,163.4,163.1,1.7,3.1,3.1,2.5,2.5,2.6,2.8
2025-03,163.5,163.5,2.3,2.9,2.8,2.3,2.2,2.3,2.7
2025-02,163.0,163.6,2.6,2.9,2.8,2.5,2.7,3.0,2.8
2025-01,161.3,162.6,1.9,2.7,2.5,2.2,2.1,2.5,2.3
2024-12,161.2,162.3,1.8,2.6,2.4,2.0,1.8,2.3,2.3
2024-11,161.8,162.0,1.9,2.7,2.5,2.0,1.6,1.9,2.6
2024-10,161.8,161.7,2.0,2.7,2.6,2.2,1.7,2.3,2.8
2024-09,161.1,161.3,1.6,2.5,2.4,2.1,1.6,2.4,2.7
2024-08,161.8,161.3,2.0,2.5,2.5,1.9,1.5,2.4,2.8
2024-07,162.1,161.2,2.5,2.7,2.7,2.2,1.7,2.7,3.1
2024-06,161.4,160.7,2.7,2.9,3.0,2.2,1.9,2.9,3.3
2024-05,161.5,160.6,2.9,3.0,3.1,2.4,1.8,2.9,3.4
2024-04,160.6,160.2,2.7,2.9,2.9,2.5,1.6,2.7,3.0
2024-03,159.8,159.9,2.9,3.2,3.2,2.8,2.0,2.9,3.3
2024-02,158.8,159.6,2.8,3.2,3.3,3.0,2.1,2.8,3.4
2024-01,158.3,159.4,2.9,3.3,3.5,3.3,2.4,3.1,3.7
2023-12,158.3,159.4,3.4,3.6,3.7,3.8,2.6,3.4,4.0
2023-11,158.8,159.0,3.1,3.4,3.6,3.8,2.8,3.5,4.0
2023-10,158.6,158.5,3.1,3.4,3.6,4.1,2.7,3.4,4.0
2023-09,158.5,158.6,3.8,3.5,3.9,4.3,2.8,3.2,4.2
2023-08,158.7,158.2,4.0,3.8,4.0,4.7,3.3,3.6,4.5
2023-07,158.1,157.2,3.3,3.5,3.9,4.7,3.2,3.4,4.2
2023-06,157.2,156.5,2.8,3.6,3.8,5.1,3.2,3.5,4.4
2023-05,157.0,156.1,3.4,3.6,3.9,5.2,3.7,4.0,4.7
2023-04,156.4,156.0,4.4,4.0,4.2,5.5,4.1,4.4,4.8
2023-03,155.3,155.4,4.3,4.2,4.5,5.7,4.3,4.5,4.9
2023-02,154.5,155.2,5.2,4.7,4.8,5.9,4.7,4.8,5.3
2023-01,153.9,154.9,5.9,5.0,4.9,6.1,5.0,4.9,5.6
2022-12,153.1,154.2,6.3,5.3,5.2,6.0,5.4,5.3,5.9
2022-11,154.0,154.3,6.8,5.5,5.3,6.1,5.8,5.4,6.1
2022-10,153.8,153.7,6.9,5.5,5.3,5.9,5.8,5.3,6.1
2022-09,152.7,152.8,6.9,5.5,5.1,5.9,6.0,5.4,6.0
2022-08,152.6,152.1,7.0,5.4,5.0,5.8,5.8,5.3,6.0
2022-07,153.1,152.2,7.6,5.6,5.2,5.8,6.1,5.5,6.2
2022-06,152.9,152.2,8.1,5.7,5.2,5.5,6.2,5.3,6.4
2022-05,151.9,151.1,7.7,5.6,5.1,5.4,6.1,5.2,6.3
2022-04,149.8,149.4,6.8,5.3,4.8,4.9,5.7,4.6,5.6
2022-03,148.9,148.9,6.7,5.0,4.4,4.5,5.5,4.7,5.3
2022-02,146.8,147.3,5.7,4.5,3.9,4.0,4.8,3.9,4.7
2022-01,145.3,146.3,5.1,4.2,3.7,3.6,4.3,3.5,4.2
2021-12,144.0,145.2,4.8,3.9,3.3,3.2,4.0,3.4,3.9
2021-11,144.2,144.5,4.7,3.5,3.1,3.1,3.6,3.1,3.6
2021-10,143.9,143.9,4.7,3.5,2.9,2.9,3.8,3.2,3.6
2021-09,142.9,143.1,4.4,3.5,3.0,3.0,3.7,3.3,3.5
2021-08,142.6,142.3,4.1,3.4,3.0,2.9,3.5,3.0,3.4
2021-07,142.3,141.4,3.7,3.2,2.9,2.7,3.3,2.8,3.3
2021-06,141.4,140.7,3.1,2.8,2.6,2.5,2.7,2.2,3.0
2021-05,141.0,140.3,3.6,2.8,2.6,2.5,2.8,2.4,3.0
2021-04,140.3,139.9,3.4,2.4,2.3,2.1,2.3,1.8,2.6
2021-03,139.6,139.5,2.2,2.2,2.3,2.0,1.4,0.9,1.6
2021-02,138.9,139.4,1.1,2.0,2.2,1.6,1.2,0.8,1.1
2021-01,138.2,139.1,1.0,1.9,2.2,1.6,1.6,1.4,1.3
2020-12,137.4,138.5,0.7,1.8,2.1,1.6,1.5,1.1,1.2
2020-11,137.7,138.0,1.0,1.9,2.1,1.7,1.5,1.3,1.4
2020-10,137.5,137.5,0.7,1.8,2.1,1.7,1.0,0.8,1.2
2020-09,136.9,137.1,0.5,1.7,2.0,1.4,1.0,0.8,1.1
2020-08,137.0,136.8,0.1,1.6,1.8,1.5,0.8,0.5,1.1
2020-07,137.2,136.5,0.1,1.6,1.8,1.4,0.7,0.5,1.0
2020-06,137.2,136.5,0.7,1.7,1.8,1.5,1.1,1.0,1.2
2020-05,136.1,135.4,-0.4,1.5,1.7,1.5,0.7,0.6,0.7
2020-04,135.7,135.6,-0.2,1.8,1.9,1.7,1.2,1.3,1.1
2020-03,136.6,136.3,0.9,1.8,1.8,1.7,1.6,1.7,1.7
2020-02,137.4,137.7,2.2,1.9,1.9,2.0,1.8,1.9,2.1
2020-01,136.8,137.5,2.4,2.0,2.1,2.2,1.8,1.9,2.2
2019-12,136.4,137.3,2.2,2.1,2.1,2.3,1.7,1.8,2.4
2019-11,136.4,136.8,2.2,2.2,2.2,2.4,1.9,2.0,2.4
2019-10,136.6,136.7,1.9,2.1,2.1,2.3,1.9,2.0,2.3
2019-09,136.2,136.3,1.9,2.0,2.1,2.3,1.9,2.1,2.3
2019-08,136.8,136.4,1.9,2.0,2.0,2.0,1.9,2.2,2.3
2019-07,137.0,136.4,2.0,2.1,2.1,2.2,2.0,2.2,2.3
2019-06,136.3,135.9,2.0,2.1,2.1,2.1,2.0,2.3,2.2
2019-05,136.6,136.0,2.4,2.2,2.1,2.1,2.1,2.4,2.3
2019-04,136.0,135.6,2.0,2.0,2.0,2.0,1.5,2.0,2.0
2019-03,135.4,135.2,1.9,2.2,2.1,1.9,1.6,1.9,2.1
2019-02,134.5,134.7,1.5,2.0,2.0,1.9,1.5,2.0,2.0
2019-01,133.6,134.3,1.4,1.9,1.9,1.8,1.5,1.9,1.9
2018-12,133.4,134.3,2.0,1.9,1.9,1.7,1.7,2.3,1.9
2018-11,133.5,134.0,1.7,1.9,1.9,1.8,1.5,1.7,1.9
2018-10,134.1,134.2,2.4,2.0,2.0,1.8,1.6,2.1,2.1
2018-09,133.7,133.8,2.2,2.0,1.9,1.7,1.5,1.8,2.1
2018-08,134.2,133.9,2.8,2.1,2.0,1.9,1.7,2.3,2.2
2018-07,134.3,133.7,3.0,2.1,1.9,1.9,1.6,2.3,2.2
2018-06,133.6,133.1,2.5,1.9,2.0,1.8,1.3,1.8,2.0
2018-05,133.4,132.9,2.2,1.9,1.9,1.7,1.3,1.7,1.9
2018-04,133.3,132.8,2.2,2.0,2.0,1.8,1.5,1.8,1.9
2018-03,132.9,132.7,2.3,1.9,1.9,1.7,1.4,1.9,1.8
2018-02,132.5,132.6,2.2,2.0,2.0,1.7,1.5,1.8,1.7
2018-01,131.7,132.3,1.7,1.8,1.8,1.6,1.2,1.5,1.4
2017-12,130.8,131.8,1.9,1.8,1.7,1.5,1.2,1.7,1.3
2017-11,131.3,131.7,2.1,1.7,1.7,1.4,1.3,1.8,1.4
2017-10,130.9,130.9,1.4,1.4,1.5,1.3,0.9,1.4,1.0
2017-09,130.8,130.7,1.6,1.4,1.6,1.3,0.8,1.2,1.0
2017-08,130.5,130.4,1.4,1.4,1.6,1.2,0.9,1.5,0.9
2017-07,130.4,130.1,1.2,1.3,1.6,1.2,0.9,1.5,0.9
2017-06,130.4,129.9,1.0,1.2,1.5,1.1,0.9,1.3,0.8
2017-05,130.5,129.9,1.3,1.2,1.6,1.0,0.9,1.3,0.9
2017-04,130.4,130.1,1.6,1.4,1.6,1.1,1.1,1.5,1.1
2017-03,129.9,129.7,1.6,1.4,1.6,1.1,1.3,1.6,1.2
2017-02,129.7,129.9,2.0,1.5,1.8,1.2,1.7,2.0,1.6
2017-01,129.5,130.1,2.1,1.6,1.8,1.2,1.7,2.1,1.6
2016-12,128.4,129.3,1.5,1.6,1.8,1.3,1.6,1.7,1.4
2016-11,128.6,128.9,1.2,1.6,1.9,1.2,1.5,1.6,1.3
2016-10,129.1,129.1,1.5,1.8,2.1,1.4,1.7,1.8,1.5
2016-09,128.8,128.8,1.3,1.8,2.0,1.5,1.8,1.9,1.5
2016-08,128.7,128.6,1.1,1.9,2.0,1.7,1.8,1.8,1.5
2016-07,128.9,128.5,1.3,1.9,2.0,1.8,2.1,2.0,1.6
2016-06,129.1,128.6,1.5,2.0,2.1,1.8,2.1,2.1,1.8
2016-05,128.8,128.3,1.5,1.9,2.0,1.9,2.1,2.1,1.8
2016-04,128.3,127.9,1.7,1.9,2.1,2.1,2.2,1.9,1.8
2016-03,127.9,127.7,1.3,1.8,2.0,2.1,2.1,1.7,1.7
2016-02,127.1,127.3,1.4,1.8,1.9,2.1,1.9,1.7,1.7
2016-01,126.8,127.5,2.0,1.8,2.0,2.1,2.0,1.8,1.9
2015-12,126.5,127.4,1.6,1.8,2.0,2.0,1.9,1.7,1.8
2015-11,127.1,127.3,1.4,1.8,1.9,2.1,2.0,1.8,1.8
2015-10,127.2,127.2,1.0,1.7,1.8,2.1,2.1,1.7,1.8
2015-09,127.1,127.0,1.0,1.7,1.7,2.0,2.1,1.8,1.8
2015-08,127.3,127.1,1.3,1.6,1.8,2.0,2.1,1.8,1.9
2015-07,127.3,127.1,1.3,1.7,1.8,2.0,2.4,2.0,2.0
2015-06,127.2,126.8,1.0,1.5,1.6,1.9,2.3,1.8,1.9
2015-05,126.9,126.3,0.9,1.5,1.7,1.9,2.2,1.8,1.8
2015-04,126.2,125.8,0.8,1.4,1.6,1.8,2.3,1.9,1.8
2015-03,126.3,126.1,1.2,1.6,1.8,1.7,2.4,2.0,2.0
2015-02,125.4,125.5,1.0,1.6,1.8,1.7,2.1,1.8,1.9
2015-01,124.3,125.1,1.0,1.7,1.8,1.9,2.2,1.9,1.9
2014-12,124.5,125.5,1.5,1.6,1.8,1.7,2.2,1.9,1.8
2014-11,125.4,125.7,2.0,1.7,1.8,1.8,2.1,2.0,2.0
2014-10,125.9,125.9,2.4,1.7,1.8,1.5,2.3,2.0,2.0
2014-09,125.8,125.7,2.0,1.7,1.8,1.5,2.1,1.9,1.9
2014-08,125.7,125.5,2.1,1.7,1.7,1.5,2.1,2.0,1.8
2014-07,125.7,125.4,2.1,1.6,1.7,1.5,1.7,1.5,1.7
2014-06,125.9,125.4,2.4,1.8,1.8,1.5,1.8,1.5,1.9
2014-05,125.8,125.1,2.3,1.8,1.8,1.4,1.7,1.4,1.8
2014-04,125.2,125.0,2.0,1.6,1.7,1.4,1.4,1.3,1.6
2014-03,124.8,124.5,1.5,1.5,1.6,1.4,1.3,1.3,1.3
2014-02,124.1,124.3,1.1,1.3,1.5,1.3,1.2,1.2,1.2
2014-01,123.1,123.9,1.5,1.5,1.7,1.3,1.4,1.3,1.5
2013-12,122.7,123.6,1.2,1.4,1.6,1.2,1.3,1.0,1.3
2013-11,123.0,123.2,0.9,1.3,1.5,1.0,1.1,0.7,1.1
2013-10,123.0,123.0,0.7,1.2,1.6,1.2,1.2,0.9,1.1
2013-09,123.3,123.1,1.1,1.3,1.6,1.3,1.3,0.9,1.2
2013-08,123.1,122.9,1.1,1.1,1.6,1.1,1.3,0.9,1.3
2013-07,123.1,122.8,1.3,1.3,1.7,1.3,1.4,1.1,1.4
2013-06,123.0,122.6,1.2,1.3,1.8,1.2,1.3,0.9,1.2
2013-05,123.0,122.3,0.7,1.1,1.6,1.2,1.1,0.6,1.0
2013-04,122.7,122.3,0.4,0.9,1.5,1.3,1.1,0.6,1.0
2013-03,122.9,122.8,1.0,1.2,1.6,1.5,1.4,0.9,1.3
2013-02,122.7,122.9,1.2,1.2,1.6,1.5,1.4,1.0,1.3
2013-01,121.3,122.1,0.5,1.0,1.4,1.4,1.0,0.5,0.9
2012-12,121.2,122.0,0.8,1.2,1.7,1.5,1.1,0.7,1.1
2012-11,121.9,122.1,0.8,1.2,1.6,1.6,1.2,0.8,1.1
2012-10,122.2,122.2,1.2,1.3,1.6,1.6,1.3,0.9,1.2
2012-09,122.0,121.9,1.2,1.3,1.6,1.5,1.3,0.7,1.2
2012-08,121.8,121.7,1.2,1.5,1.6,1.7,1.6,1.0,1.4
2012-07,121.5,121.2,1.3,1.5,1.7,1.7,1.7,1.2,1.4
2012-06,121.6,121.2,1.5,1.5,1.6,1.8,2.0,1.3,1.5
